epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2192.56,0.60465,0.36508,0.96415,0.97195,0.97154,0.98357,0.78009,0.67276,0.35089,0.86059,0.00230417,0.00230417,0.00230417
43,2244.5,0.61295,0.36642,0.96768,0.9733,0.97318,0.98504,0.77745,0.69728,0.36323,0.87336,0.0022872,0.0022872,0.0022872
44,2296.56,0.60825,0.36943,0.96531,0.97008,0.97789,0.98291,0.78134,0.67203,0.35066,0.86577,0.00227023,0.00227023,0.00227023
45,2348.39,0.60963,0.35976,0.96869,0.97416,0.97945,0.98548,0.78618,0.69211,0.3444,0.87325,0.00225326,0.00225326,0.00225326
46,2400.21,0.60461,0.3618,0.9606,0.96358,0.96364,0.98139,0.77554,0.67309,0.35219,0.86038,0.00223629,0.00223629,0.00223629
47,2452.14,0.61195,0.36066,0.96021,0.97316,0.97683,0.9821,0.77026,0.69043,0.34332,0.87166,0.00221931,0.00221931,0.00221931
48,2503.99,0.60527,0.36303,0.96328,0.97735,0.97596,0.98364,0.7843,0.6669,0.33383,0.85861,0.00220234,0.00220234,0.00220234
49,2555.73,0.59705,0.36043,0.95596,0.95777,0.96676,0.98007,0.77258,0.66143,0.34337,0.85691,0.00218537,0.00218537,0.00218537
50,2607.89,0.6034,0.36054,0.96003,0.97385,0.97589,0.98272,0.78081,0.67626,0.35581,0.86794,0.0021684,0.0021684,0.0021684
51,2659.78,0.59519,0.36092,0.95684,0.9635,0.97714,0.98262,0.78174,0.67122,0.34872,0.8617,0.00215143,0.00215143,0.00215143
52,2711.7,0.59979,0.35548,0.9574,0.97226,0.97529,0.98189,0.78182,0.66035,0.33601,0.8615,0.00213446,0.00213446,0.00213446
53,2763.72,0.59146,0.34794,0.95758,0.9723,0.98192,0.98345,0.78468,0.65847,0.33527,0.86276,0.00211749,0.00211749,0.00211749
54,2815.48,0.588,0.35035,0.95465,0.98276,0.97123,0.98285,0.77305,0.65522,0.33615,0.85538,0.00210051,0.00210051,0.00210051
55,2867.59,0.59094,0.35155,0.95763,0.98325,0.96976,0.98306,0.78004,0.67162,0.33365,0.86875,0.00208354,0.00208354,0.00208354
56,2919.46,0.59106,0.34716,0.95822,0.97633,0.97753,0.98085,0.77992,0.65854,0.33477,0.86093,0.00206657,0.00206657,0.00206657
57,2971.47,0.58394,0.34826,0.95444,0.97168,0.9733,0.98147,0.78341,0.66441,0.32913,0.86678,0.0020496,0.0020496,0.0020496
58,3023.63,0.58676,0.34879,0.95219,0.97164,0.9651,0.9818,0.78197,0.64206,0.326,0.85001,0.00203263,0.00203263,0.00203263
59,3075.44,0.57936,0.3433,0.95104,0.96724,0.9719,0.98393,0.78412,0.6656,0.33219,0.86149,0.00201566,0.00201566,0.00201566
60,3127.48,0.57856,0.34295,0.95243,0.9679,0.97221,0.97928,0.77681,0.64564,0.32781,0.85147,0.00199869,0.00199869,0.00199869
61,3178.96,0.58341,0.33786,0.94902,0.98504,0.96428,0.98383,0.78153,0.66529,0.32653,0.86117,0.00198171,0.00198171,0.00198171
62,3230.91,0.57984,0.33902,0.95676,0.97234,0.956,0.98194,0.7786,0.66037,0.33189,0.85786,0.00196474,0.00196474,0.00196474
63,3282.84,0.57959,0.34032,0.95106,0.96863,0.97133,0.98369,0.78722,0.66069,0.33018,0.8631,0.00194777,0.00194777,0.00194777
64,3334.95,0.57922,0.33736,0.95478,0.97487,0.97373,0.98081,0.77875,0.65022,0.32354,0.85405,0.0019308,0.0019308,0.0019308
65,3387.11,0.5667,0.33471,0.94967,0.97417,0.97562,0.98443,0.79026,0.65236,0.32396,0.85263,0.00191383,0.00191383,0.00191383
66,3439,0.5651,0.33246,0.94464,0.97826,0.96505,0.98466,0.7978,0.65139,0.32187,0.85632,0.00189686,0.00189686,0.00189686
67,3491,0.56569,0.32827,0.95014,0.9769,0.96639,0.98448,0.79148,0.64894,0.3178,0.85461,0.00187989,0.00187989,0.00187989
68,3542.66,0.57012,0.33092,0.94881,0.98057,0.96836,0.98267,0.78321,0.63775,0.3141,0.84598,0.00186291,0.00186291,0.00186291
69,3594.58,0.5636,0.32859,0.944,0.98217,0.97313,0.98568,0.7875,0.64098,0.31658,0.84523,0.00184594,0.00184594,0.00184594
70,3646.52,0.56924,0.33269,0.94466,0.97729,0.97711,0.98242,0.78197,0.64186,0.31915,0.85295,0.00182897,0.00182897,0.00182897
71,3698.38,0.56322,0.33245,0.94487,0.98067,0.97154,0.98635,0.79916,0.63851,0.3082,0.84701,0.001812,0.001812,0.001812
72,3750.62,0.56366,0.32328,0.94331,0.9785,0.96559,0.98429,0.79273,0.65298,0.31857,0.85866,0.00179503,0.00179503,0.00179503
73,3802.48,0.5673,0.3283,0.9425,0.97812,0.97692,0.98482,0.79436,0.64814,0.31851,0.85264,0.00177806,0.00177806,0.00177806
74,3854.73,0.54977,0.31838,0.93981,0.98116,0.97418,0.98599,0.79177,0.63732,0.30949,0.84865,0.00176109,0.00176109,0.00176109
