epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,20544.6,0.88372,0.51451,0.97086,0.84373,0.85708,0.88981,0.61704,1.07648,0.56523,0.95926,0.00147788,0.00147788,0.00147788
43,21032.1,0.88115,0.50838,0.96847,0.83127,0.8171,0.86721,0.60458,1.0981,0.65951,0.96903,0.00144075,0.00144075,0.00144075
44,21521.5,0.86834,0.50189,0.96064,0.80676,0.84002,0.86312,0.59873,1.10122,0.6373,0.97255,0.00140363,0.00140363,0.00140363
45,22008.2,0.85601,0.49723,0.95748,0.82784,0.80402,0.86695,0.60754,1.09281,0.6172,0.96359,0.0013665,0.0013665,0.0013665
46,22490.1,0.87071,0.50143,0.96257,0.80731,0.86181,0.86948,0.60448,1.08357,0.6822,0.96137,0.00132938,0.00132938,0.00132938
47,22975.5,0.84795,0.48791,0.95535,0.79501,0.88826,0.87468,0.61324,1.07669,0.59,0.95691,0.00129225,0.00129225,0.00129225
48,23462.4,0.85491,0.48719,0.95581,0.82709,0.8267,0.87051,0.61428,1.06801,0.61706,0.95795,0.00125512,0.00125512,0.00125512
49,23946.8,0.84017,0.48337,0.9509,0.80904,0.84804,0.86506,0.60566,1.07754,0.61309,0.95894,0.001218,0.001218,0.001218
50,24434.1,0.8454,0.48591,0.95671,0.80869,0.80376,0.84797,0.59521,1.07136,0.65745,0.95894,0.00118087,0.00118087,0.00118087
51,24920.3,0.84992,0.48254,0.95356,0.83019,0.8114,0.86364,0.61342,1.07745,0.62008,0.96209,0.00114375,0.00114375,0.00114375
52,25411.9,0.83297,0.47489,0.94586,0.80631,0.86341,0.88061,0.61957,1.07829,0.61341,0.96301,0.00110663,0.00110663,0.00110663
53,25899.1,0.82445,0.46661,0.95073,0.80018,0.87265,0.87672,0.62039,1.07081,0.61091,0.95944,0.0010695,0.0010695,0.0010695
54,26380.6,0.82096,0.46178,0.94251,0.79704,0.83514,0.86583,0.61143,1.07208,0.62778,0.95985,0.00103238,0.00103238,0.00103238
55,26866.4,0.82372,0.46228,0.94198,0.78808,0.85148,0.86416,0.61155,1.06058,0.61327,0.95787,0.00099525,0.00099525,0.00099525
56,27353.9,0.82969,0.46534,0.94381,0.80239,0.80778,0.84739,0.60491,1.04964,0.66117,0.95506,0.000958125,0.000958125,0.000958125
57,27836.7,0.81227,0.457,0.94032,0.79795,0.8258,0.85653,0.60988,1.06295,0.6466,0.95431,0.000921,0.000921,0.000921
58,28325.1,0.81042,0.45806,0.94136,0.8326,0.77672,0.84609,0.59812,1.06635,0.69694,0.95154,0.000883875,0.000883875,0.000883875
59,28812,0.81492,0.45543,0.94233,0.82282,0.83132,0.86362,0.60732,1.06799,0.59863,0.95474,0.00084675,0.00084675,0.00084675
60,29304.4,0.80559,0.4478,0.93977,0.7664,0.84212,0.84466,0.60013,1.06439,0.6569,0.9536,0.000809625,0.000809625,0.000809625
61,29795.5,0.79429,0.44007,0.93647,0.78415,0.7771,0.81346,0.5852,1.05001,0.77845,0.95359,0.0007725,0.0007725,0.0007725
